dep,hosp,rea,dc,dose1,dose2,dose3,age_0_19ans,age_20_39ans,age_40_59ans,age_60_74ans,age_75+,pop,non_vacc
43,1961,154,293,1991,101148,68586,49963,43208,60566,47565,26244,227546,55821
44,6014,1080,952,9767,765839,357297,366775,361608,375491,232612,122282,1458768,325865
45,4589,1256,713,6727,317921,196883,172434,155231,173854,117266,65213,683998,162467
46,821,124,126,2136,73757,56976,31786,29761,44333,42821,25507,174208,41339
47,1459,289,217,4242,147918,101890,69882,63307,83880,69545,43260,329874,75824
48,650,62,126,820,33607,21919,15589,14655,20239,16416,9631,76530,20184
49,5146,1029,832,5307,401816,234595,203420,186437,205056,141032,83583,819528,177810
50,2268,326,418,5088,229667,176713,105149,96019,126053,103753,60391,491365,79897
51,5360,737,962,5633,260017,166285,135505,136354,141312,98557,49977,561705,129770
52,2059,223,399,1579,75054,55188,34617,33869,43636,35989,20120,168231,36410
53,1922,203,307,2260,148700,92453,74079,62005,78747,56391,34202,305424,62011
54,6916,1376,1297,8517,318589,224121,170308,185069,182546,125801,66013,729737,178510
55,2071,258,418,2317,81855,56921,39536,36599,46630,37499,18755,179019,37926
56,3174,485,487,8055,383820,238016,166669,144301,199070,164931,88132,763103,133212
57,11396,2012,2577,12882,454113,316779,230594,243393,278210,191457,94786,1038440,254666
58,1654,137,356,2048,91368,68124,38260,34687,49713,47965,28893,199518,37978
59,25078,5633,4214,26810,1178739,757096,676388,662413,647668,414598,197232,2598299,635654
60,7549,1106,1517,8785,394056,214964,214816,194625,221795,136110,62349,829695,211890
61,2532,253,420,3115,126228,91781,59006,51122,69824,59656,35523,275131,54007
62,11571,2197,2074,14166,680068,470615,365614,335372,372985,261766,119281,1455018,290169
63,4395,918,851,4830,294956,211209,152001,155278,170398,123536,68264,669477,158482
64,3360,492,560,7066,318425,222472,144661,142882,182994,134192,83860,688589,140626
65,1632,284,265,2853,97728,78574,45284,43679,59568,50343,30316,229190,50035
66,2694,505,453,6718,201297,156161,102545,92986,122464,100205,62233,480433,116257
67,10596,2093,1875,11368,547081,318764,261167,290087,302427,195183,98610,1147474,270261
68,9169,1496,1696,8148,336232,202446,174464,171801,207913,138635,70988,763801,216975
69,23630,5036,3602,15224,911870,477186,481932,528113,460726,262004,159978,1892753,488473
70,1737,340,287,2319,103037,73681,52076,45289,62826,48296,24904,233391,54354
71,6985,786,1173,5379,254421,175067,116709,103579,140819,116467,69607,547181,112314
72,4257,434,660,5154,285871,161301,134289,117715,142917,105907,61349,562177,109851
73,4477,631,772,3897,202284,126922,99752,97161,118219,78481,44046,437659,104556
74,7293,1091,1143,6446,391953,182224,206055,209898,230882,124875,66770,838480,257857
75,30130,8086,4957,21755,1012145,708635,402781,720356,531753,312639,174837,2142366,399831
76,9679,1619,1682,11595,582771,396737,304835,296994,310618,221588,116811,1250846,259743
77,13233,3309,2212,16026,665924,361805,393268,358575,382426,204529,93677,1432475,388720
78,12344,1683,2000,14759,673726,422790,388826,341557,395599,209573,117355,1452910,341635
79,1822,193,293,3351,187774,111054,84425,73347,99206,73599,43773,374350,72171
80,4622,889,993,5787,264915,187876,135894,134099,143731,101669,51849,567242,108664
81,2310,561,426,4306,174497,119218,84778,74383,102502,78622,49135,389420,91399
82,1549,333,257,3414,116544,74811,62833,52106,70311,49079,27925,262254,67485
83,9792,1512,1717,15848,470467,323489,224196,215949,279150,221718,143877,1084890,275086
84,6844,651,1041,7992,253993,148237,131792,117167,145985,104698,61077,560719,150497
85,2503,467,355,4506,352402,214281,155481,131877,177857,147332,78722,691269,120080
86,2074,405,329,4149,202385,133482,101742,100972,107655,80890,47610,438869,98853
87,2037,219,361,3077,171877,119836,78536,77858,93390,75610,44969,370363,75573
88,4169,575,894,3743,168517,110269,76702,69986,94375,77036,40724,358823,76294
89,3582,384,657,3704,153020,99423,73912,64614,86105,69791,38584,333006,76859
90,3281,443,658,1299,59273,40324,32517,31731,36254,24819,13268,138589,37693
91,13530,2538,2059,13665,608631,331192,358762,337635,346627,178419,94013,1315456,361968
92,20574,4700,2962,12598,732007,480069,399621,465827,432633,215315,119704,1633100,408426
93,19485,3645,2701,21240,759172,291440,486120,478155,424596,197804,82665,1669340,597488
94,20096,3845,3203,12565,647127,349347,363671,398882,367290,190122,98607,1418572,409533
95,13261,1633,2205,14790,582066,292005,363327,329218,324400,169135,73962,1260042,371181
